#ZVView-data-copy:  13-Dec-2012 09:14:57
#=======================================
#
#name:   ENDF/B-VII.1: IR-193(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  11189
#data...
#            X            Y
#          MeV        barns
    1.18841e-6      1612.44
    1.19019e-6      1660.83
    1.19257e-6      1725.52
    1.19436e-6      1779.11
    1.19673e-6      1850.32
    1.19748e-6      1875.17
    1.20064e-6      1979.54
    1.20068e-6      1980.79
    1.20381e-6       2094.9
    1.20462e-6      2124.54
    1.20698e-6      2219.24
    1.20857e-6      2283.09
    1.21015e-6      2353.24
    1.21251e-6      2458.12
    1.21332e-6      2497.25
    1.21572e-6       2613.8
    1.21651e-6      2655.05
    1.21893e-6      2782.56
    1.21972e-6      2827.71
    1.22214e-6      2965.45
    1.22294e-6      3014.81
    1.22534e-6      3163.48
    1.22615e-6      3217.38
    1.22855e-6      3377.63
    1.22937e-6      3436.38
    1.23179e-6      3611.03
    1.23258e-6      3672.59
    1.23504e-6       3863.7
    1.23569e-6      3917.64
    1.23829e-6      4135.09
     1.2388e-6      4180.24
     1.2419e-6      4460.45
    1.24263e-6      4526.29
    1.24501e-6      4758.53
    1.24697e-6      4950.11
    1.24812e-6      5069.79
      1.251e-6      5371.29
    1.25111e-6      5383.52
    1.25406e-6      5709.81
      1.257e-6      6036.31
    1.25706e-6      6042.28
    1.26093e-6      6486.81
    1.26485e-6      6937.82
    1.26867e-6      7376.55
    1.27009e-6      7529.28
    1.27423e-6      7975.81
    1.27903e-6      8435.05
    1.28099e-6      8596.84
     1.2823e-6       8704.6
    1.28535e-6      8915.62
    1.28557e-6      8930.67
    1.28884e-6      9107.06
    1.28971e-6      9139.64
    1.29211e-6      9228.92
    1.29298e-6         9246
    1.29538e-6      9292.67
    1.29626e-6      9296.22
    1.29765e-6       9301.7
    1.29978e-6      9276.42
    1.30105e-6      9261.04
    1.30275e-6      9209.54
    1.30432e-6      9161.75
    1.30573e-6      9095.07
     1.3076e-6      9006.36
    1.30956e-6      8882.31
    1.31087e-6      8799.41
    1.31174e-6      8732.03
    1.31414e-6      8546.41
    1.31501e-6      8467.82
    1.31795e-6      8202.08
    1.31894e-6      8101.69
    1.32242e-6       7744.2
    1.32286e-6      7699.46
    1.32591e-6      7356.82
     1.3294e-6      6964.81
    1.33115e-6      6764.44
    1.33769e-6      6012.34
    1.34031e-6      5711.33
    1.34467e-6      5235.21
    1.34903e-6       4785.6
    1.35296e-6      4408.73
    1.35339e-6      4366.87
    1.35666e-6      4074.59
     1.3595e-6      3837.66
    1.35993e-6      3801.24
     1.3632e-6      3546.81
    1.36604e-6      3342.12
    1.36648e-6      3310.66
    1.36975e-6      3092.22
    1.37258e-6      2917.29
    1.37302e-6      2890.41
    1.37629e-6       2704.4
    1.37912e-6      2555.79
    1.37956e-6      2532.96
    1.38283e-6      2375.17
    1.38567e-6      2249.19
     1.3861e-6      2229.83
    1.38937e-6      2096.06
    1.39221e-6      1989.18
    1.39265e-6      1972.76
    1.39592e-6      1859.15
    1.39875e-6      1768.24
    1.39919e-6      1754.28
    1.40246e-6      1657.47
    1.40529e-6      1579.85
    1.40573e-6      1567.92
    1.41009e-6      1458.84
    1.41184e-6      1419.35
    1.41445e-6      1360.21
    1.41838e-6      1279.76
    1.41881e-6      1270.83
    1.42318e-6       1189.7
    1.42492e-6      1160.14
    1.42754e-6      1115.86
    1.43146e-6      1055.21
     1.4319e-6      1048.48
    1.43626e-6      986.927
    1.44019e-6      936.122
    1.44062e-6      930.488
    1.44498e-6      878.716
    1.44891e-6      835.811
    1.44934e-6      831.052
    1.45371e-6      787.155
    1.45763e-6      750.635
    1.45807e-6      746.585
    1.46243e-6       709.08
    1.46635e-6       678.33
    1.46897e-6       657.87
    1.47415e-6      621.142
     1.4759e-6       609.73
    1.47933e-6      587.419
    1.48451e-6      556.367
    1.48628e-6       546.61
     1.4897e-6      527.735
    1.49495e-6      500.908
    1.49673e-6      492.514
     1.5002e-6       476.11
    1.50809e-6      442.259
    1.51251e-6      425.234
    1.51604e-6      411.669
    1.52403e-6       384.09
    1.52851e-6      370.152
    1.53203e-6      359.243
    1.54013e-6      336.493
    1.54467e-6      324.949
    1.54824e-6      315.881
    1.55549e-6      299.139
    1.55638e-6      297.078
     1.5646e-6      279.822
    1.57282e-6      264.055
    1.57743e-6      255.954
    1.58112e-6      249.505
    1.58945e-6      236.129
    1.59779e-6      223.831
    1.59969e-6      221.253
    1.60624e-6      212.383
    1.61469e-6      201.834
    1.62225e-6      193.226
    1.62604e-6      188.928
    1.63747e-6      177.229
    1.64514e-6      170.128
    1.64899e-6      166.584
    1.66058e-6      156.891
    1.67225e-6      148.013
    1.68012e-6      142.556
      1.684e-6      139.878
    1.69584e-6      132.425
    1.70776e-6      125.555
    1.71576e-6      121.328
    1.71977e-6      119.221
    1.73186e-6      113.384
    1.74403e-6      107.973
    1.75224e-6       104.61
    1.75629e-6      102.961
    1.76864e-6      98.3233
    1.78107e-6      94.0065
    1.79359e-6      89.9801
    1.80203e-6      87.5047
     1.8125e-6      84.4585
    1.83168e-6      79.4522
    1.85104e-6      74.9065
    1.85323e-6      74.4412
    1.87058e-6      70.8045
     1.8903e-6      67.0736
     1.9103e-6      63.6503
    1.91925e-6      62.2599
    1.93049e-6      60.5305
    1.95087e-6      57.6778
    1.97144e-6      55.0521
     1.9923e-6      52.6196
    2.00163e-6      51.6241
    2.01336e-6      50.3888
    2.03461e-6      48.3378
    2.05606e-6      46.4373
    2.07782e-6      44.6647
    2.09978e-6      43.0163
    2.10227e-6      42.8435
    2.12195e-6      41.5022
    2.14432e-6      40.0934
    2.17457e-6      38.3536
    2.20525e-6      36.7592
    2.22344e-6      35.9024
    2.23636e-6       35.305
    2.26791e-6      33.9819
    2.29991e-6      32.7621
    2.33236e-6       31.635
    2.36526e-6       30.591
    2.36807e-6      30.5094
    2.39863e-6      29.6422
    2.43247e-6      28.7632
    2.46679e-6      27.9472
    2.50159e-6      27.1876
    2.53689e-6      26.4757
    2.55782e-6      26.0857
    2.57268e-6      25.8164
    2.60897e-6      25.2097
    2.64578e-6      24.6412
    2.68311e-6      24.1075
    2.72096e-6      23.6058
    2.75935e-6      23.1332
     2.8016e-6      22.6577
    2.81802e-6      22.4794
    2.87779e-6       21.897
    2.93898e-6      21.3604
    3.00132e-6      20.8667
    3.06513e-6      20.4088
    3.13015e-6      19.9848
    3.13387e-6      19.9627
     3.1967e-6      19.6069
    3.26451e-6      19.2574
    3.33392e-6      18.9308
    3.40464e-6      18.6261
    3.47703e-6      18.3406
    3.57583e-6      17.9863
    3.58008e-6      17.9724
    3.65168e-6      17.7521
    3.72932e-6       17.532
    3.83529e-6      17.2582
    3.94427e-6      17.0041
    4.05635e-6      16.7675
    4.17161e-6      16.5464
    4.23549e-6      16.4348
    4.29015e-6      16.3464
    4.41206e-6      16.1677
    4.53743e-6      16.0011
    4.66636e-6      15.8457
    4.79896e-6       15.701
    4.93532e-6      15.5667
    5.07556e-6      15.4428
    5.21979e-6       15.329
    5.36811e-6      15.2263
    5.49937e-6       15.147
    5.56592e-6       15.113
    5.63406e-6       15.077
    5.79415e-6      15.0082
    5.91705e-6      14.9681
    6.04286e-6      14.9395
    6.17104e-6      14.9247
    6.30225e-6      14.9262
    6.43593e-6      14.9485
    6.49328e-6      14.9664
    6.52673e-6      14.9725
    6.61881e-6       15.002
    6.71219e-6      15.0469
    6.80689e-6      15.1101
    6.90292e-6      15.1953
    6.97596e-6      15.2766
    7.01356e-6      15.3264
    7.04969e-6      15.3677
    7.12411e-6      15.4726
    7.19922e-6      15.6021
     7.2754e-6      15.7609
    7.35229e-6      15.9543
    7.36585e-6      15.9941
    7.40379e-6      16.0966
    7.45602e-6       16.258
    7.50825e-6      16.4426
    7.56121e-6      16.6568
    7.61418e-6      16.9022
    7.62859e-6      16.9788
    7.66789e-6       17.176
     7.7216e-6      17.4885
    7.76245e-6      17.7593
     7.8033e-6      18.0629
    7.84434e-6      18.4052
    7.84536e-6      18.4147
    7.88577e-6      18.7785
     7.9272e-6      19.2007
    7.96902e-6      19.6857
    8.01103e-6      20.2423
    8.01177e-6      20.2536
    8.05304e-6      20.8635
    8.08145e-6       21.336
    8.10985e-6       21.857
     8.1248e-6        22.16
    8.13825e-6      22.4265
    8.16666e-6      23.0509
    8.19546e-6      23.7553
    8.22427e-6      24.5415
    8.23943e-6      25.0047
    8.25307e-6      25.4141
    8.28187e-6      26.3862
    8.30378e-6       27.208
    8.32569e-6      28.1105
    8.32661e-6      28.1523
     8.3476e-6      29.0906
     8.3695e-6      30.1724
    8.39141e-6        31.37
    8.41353e-6      32.7128
    8.41461e-6      32.7864
    8.43574e-6       34.203
    8.45796e-6       35.872
    8.47356e-6      37.1894
    8.48018e-6      37.7444
     8.5024e-6      39.8477
    8.51721e-6      41.4039
    8.53333e-6      43.2801
    8.53746e-6       43.758
    8.55097e-6      45.4849
    8.56448e-6      47.3623
    8.57798e-6      49.4078
    8.59149e-6      51.6417
     8.5931e-6      51.9345
    8.60499e-6      54.0767
    8.61849e-6       56.749
    8.63101e-6      59.4662
    8.64254e-6      62.1992
    8.64488e-6      62.8042
    8.65407e-6      65.1713
     8.6656e-6      68.4192
    8.67713e-6      71.9799
