#ZVView-data-copy:  13-Dec-2012 09:14:14
#=======================================
#
#name:   ENDF/B-VII.1: IR-191(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  10678
#data...
#            X            Y
#          MeV        barns
         1e-11        49084
   1.10304e-11      46735.4
   1.11082e-11      46582.3
   1.21669e-11      44499.2
   1.23386e-11      44207.5
   1.34205e-11        42370
   1.37059e-11      41951.5
   1.48034e-11      40342.6
    1.5224e-11      39810.3
   1.63287e-11      38412.3
   1.69111e-11        37776
   1.80111e-11      36574.4
   1.87842e-11      35845.3
   1.98669e-11      34824.4
   2.08659e-11      34011.2
   2.19139e-11      33158.2
    2.3177e-11      32270.6
   2.41719e-11      31571.7
   2.57455e-11      30617.2
   2.66625e-11      30061.1
   2.85971e-11      29048.2
   2.94097e-11      28622.8
   3.17662e-11      27557.8
     3.244e-11      27253.3
   3.52847e-11      26143.6
   3.57825e-11      25949.4
   3.91949e-11      24800.3
   3.94694e-11      24707.9
   4.35362e-11      23525.8
   4.80221e-11      22400.2
   4.83608e-11      22326.9
   5.29701e-11      21328.6
   5.37174e-11      21188.8
    5.8428e-11      20308.2
   6.00883e-11      20040.2
   6.44483e-11      19336.7
   6.72147e-11      18951.3
   7.10888e-11      18411.6
   7.51862e-11      17918.9
   7.84136e-11      17530.8
   8.41032e-11      16940.3
   8.64931e-11      16692.2
   9.40778e-11      16012.6
   9.54051e-11      15893.7
   1.05235e-10      15133.5
   1.05978e-10      15083.8
   1.16078e-10      14409.6
   1.19377e-10      14219.5
   1.28039e-10      13720.4
   1.34477e-10      13400.1
   1.41232e-10      13064.1
   1.52548e-10      12578.2
   1.55784e-10      12439.3
   1.71835e-10      11844.3
   1.73047e-10      11805.5
    1.8954e-10      11277.9
   1.97676e-10      11053.2
    2.0907e-10      10738.5
   2.25822e-10      10339.2
   2.30612e-10        10225
   2.54374e-10      9736.02
   2.59782e-10      9639.94
   2.80583e-10      9270.46
   3.00943e-10      8958.27
   3.09494e-10      8827.17
   3.41383e-10       8405.1
   3.51084e-10      8294.25
   3.76558e-10      8003.23
   4.12469e-10      7649.06
   4.15358e-10      7620.57
   4.58155e-10      7256.24
   4.91399e-10      7011.92
   5.05362e-10      6909.32
   5.57433e-10         6579
   5.93721e-10      6380.27
   6.14869e-10      6264.47
   6.78223e-10         5965
   7.27435e-10      5764.16
   7.48105e-10      5679.82
   8.25188e-10       5408.3
   9.10213e-10      5149.74
      1.004e-9      4903.56
    1.10745e-9      4669.12
    1.17128e-9      4544.23
    1.22156e-9      4445.88
    1.34742e-9      4233.32
    1.48625e-9       4030.9
    1.56099e-9      3936.82
    1.63939e-9      3838.14
    1.80831e-9      3654.59
    1.99463e-9      3479.79
    2.18485e-9      3325.71
    2.20015e-9      3313.31
    2.42685e-9       3154.8
    2.67691e-9      3003.83
    2.95273e-9      2860.06
    3.25697e-9      2723.13
    3.59256e-9      2592.75
    3.96272e-9      2468.58
    4.37103e-9      2350.33
    4.82141e-9      2237.72
    5.31819e-9      2130.45
    5.35571e-9      2123.46
    5.86616e-9       2028.3
    6.47059e-9      1930.98
     7.1373e-9      1838.28
    7.87271e-9      1749.95
    8.68389e-9      1665.77
    9.57865e-9      1585.51
    1.03461e-8         1526
    1.05656e-8      1508.99
    1.16543e-8      1436.07
    1.28551e-8      1366.62
    1.41796e-8      1300.49
    1.56406e-8      1237.54
    1.72522e-8      1177.53
    1.90298e-8      1120.28
    2.09906e-8      1065.68
    2.31534e-8      1013.68
    2.52419e-8      969.964
       2.53e-8      968.826
    2.79068e-8      921.441
    3.07823e-8      876.222
     3.3954e-8      833.113
    3.74525e-8      792.066
    4.13115e-8      753.062
    4.55681e-8       716.05
    5.02633e-8      680.775
    5.54423e-8       647.16
    6.11549e-8      615.244
    6.74561e-8      584.993
    7.44066e-8      556.367
    7.49314e-8      554.507
    8.15023e-8      531.229
    8.92703e-8      507.564
    9.84684e-8      483.586
    1.07859e-7      462.625
    1.18139e-7      443.084
    1.29405e-7          425
    1.41739e-7      408.455
    1.54168e-7       394.65
    1.67687e-7      382.434
    1.74885e-7      377.258
    1.82392e-7      371.859
    1.98386e-7      363.306
    2.14282e-7      357.367
     2.3144e-7      353.677
     2.4478e-7       352.68
    2.62031e-7       353.79
    2.62541e-7      353.904
    2.79076e-7      357.576
    2.95161e-7      363.755
